name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Moonsong Talagelum Foil,Dragonlord,Foil,Unique,140.79,125.94,-14.849999999999994,-10.547624121031319,https://www.tcgplayer.com/product/647351/sorcery-contested-realm-dragonlord-moonsong-talagelum-foil
Book of the Dead Foil,Gothic,Foil,Unique,111.72,101.05,-10.670000000000002,-9.550662370211244,https://www.tcgplayer.com/product/667035/sorcery-contested-realm-gothic-book-of-the-dead-foil
The Four Elementals Preconstructed Deck Box,Alpha,Standard,,664.86,673.05,8.18999999999994,1.231838281743516,https://www.tcgplayer.com/product/521577/sorcery-contested-realm-alpha-the-four-elementals-preconstructed-deck-box
Eclipse Foil,Gothic,Foil,Unique,137.37,129.89,-7.480000000000018,-5.445148140059706,https://www.tcgplayer.com/product/667171/sorcery-contested-realm-gothic-eclipse-foil
Archangel Michael Foil,Gothic,Foil,Unique,145.28,151.62,6.340000000000003,4.363986784140971,https://www.tcgplayer.com/product/666958/sorcery-contested-realm-gothic-archangel-michael-foil
Sister Stefania Foil,Gothic,Foil,Unique,86.19,90.49,4.299999999999997,4.988977839656569,https://www.tcgplayer.com/product/667639/sorcery-contested-realm-gothic-sister-stefania-foil
Windmill Foil,Beta,Foil,Exceptional,37.49,33.48,-4.010000000000005,-10.696185649506548,https://www.tcgplayer.com/product/522945/sorcery-contested-realm-beta-windmill-foil
Saint of Redemption Foil,Gothic,Foil,Unique,121.17,118.24,-2.930000000000007,-2.418090286374521,https://www.tcgplayer.com/product/667588/sorcery-contested-realm-gothic-saint-of-redemption-foil
Legion of Gall Foil,Gothic,Foil,Elite,26.83,28.8,1.9700000000000024,7.342527021990319,https://www.tcgplayer.com/product/667395/sorcery-contested-realm-gothic-legion-of-gall-foil
Silver Bullet Foil,Gothic,Foil,Elite,38.67,36.78,-1.8900000000000006,-4.887509697439877,https://www.tcgplayer.com/product/667633/sorcery-contested-realm-gothic-silver-bullet-foil
Kingdom of Agartha Foil,Beta,Foil,Unique,30.57,28.96,-1.6099999999999994,-5.266601243048739,https://www.tcgplayer.com/product/523407/sorcery-contested-realm-beta-kingdom-of-agartha-foil
Kythera Mechanism,Alpha,Standard,Unique,24.95,26.38,1.4299999999999997,5.7314629258517025,https://www.tcgplayer.com/product/521975/sorcery-contested-realm-alpha-kythera-mechanism
Putrid Presence Foil,Gothic,Foil,Unique,43.46,42.03,-1.4299999999999997,-3.290381960423377,https://www.tcgplayer.com/product/667550/sorcery-contested-realm-gothic-putrid-presence-foil
Key to the City,Gothic,Standard,Unique,41.57,42.81,1.240000000000002,2.982920375270633,https://www.tcgplayer.com/product/667372/sorcery-contested-realm-gothic-key-to-the-city
Witch Foil,Arthurian Legends,Foil,Unique,269.3,270.26,0.9599999999999795,0.3564797623468175,https://www.tcgplayer.com/product/585563/sorcery-contested-realm-arthurian-legends-witch-foil
Fail not Bow Foil,Arthurian Legends,Foil,Unique,35.81,34.92,-0.8900000000000006,-2.485339290700923,https://www.tcgplayer.com/product/585225/sorcery-contested-realm-arthurian-legends-fail-not-bow-foil
Maiden Mother Crone,Gothic,Standard,Unique,55.4,54.56,-0.8399999999999963,-1.5162454873646143,https://www.tcgplayer.com/product/667418/sorcery-contested-realm-gothic-maiden-mother-crone
Aino,Gothic,Standard,Unique,45.97,46.69,0.7199999999999989,1.56623885142484,https://www.tcgplayer.com/product/666932/sorcery-contested-realm-gothic-aino
The Great Drowning of Men Foil,Arthurian Legends,Foil,Unique,37.01,36.33,-0.6799999999999997,-1.8373412591191562,https://www.tcgplayer.com/product/585499/sorcery-contested-realm-arthurian-legends-the-great-drowning-of-men-foil
Grey Wolves Foil,Beta,Foil,Ordinary,25.19,24.55,-0.6400000000000006,-2.540690750297739,https://www.tcgplayer.com/product/523435/sorcery-contested-realm-beta-grey-wolves-foil
