name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Vesuvius Foil,Alpha,Foil,Unique,158.47,195.69,37.22,23.487095349277464,https://www.tcgplayer.com/product/522429/sorcery-contested-realm-alpha-vesuvius-foil
Moon Clan Werewolf Foil,Alpha,Foil,Exceptional,24.99,34.56,9.570000000000004,38.295318127250916,https://www.tcgplayer.com/product/522084/sorcery-contested-realm-alpha-moon-clan-werewolf-foil
Dank Omphalos Foil,Gothic,Foil,Unique,183.0,190.44,7.439999999999998,4.065573770491802,https://www.tcgplayer.com/product/667105/sorcery-contested-realm-gothic-dank-omphalos-foil
City of Souls Foil,Gothic,Foil,Unique,101.59,106.82,5.22999999999999,5.148144502411645,https://www.tcgplayer.com/product/667071/sorcery-contested-realm-gothic-city-of-souls-foil
Char Omphalos Foil,Gothic,Foil,Unique,160.13,163.85,3.719999999999999,2.3231124711172164,https://www.tcgplayer.com/product/667061/sorcery-contested-realm-gothic-char-omphalos-foil
Book of Blessings Foil,Gothic,Foil,Unique,59.18,55.58,-3.6000000000000014,-6.083136194660361,https://www.tcgplayer.com/product/667033/sorcery-contested-realm-gothic-book-of-blessings-foil
Glastonbury Tor Foil,Arthurian Legends,Foil,Unique,119.51,122.57,3.059999999999988,2.560455192034129,https://www.tcgplayer.com/product/585254/sorcery-contested-realm-arthurian-legends-glastonbury-tor-foil
River of Flame Foil,Beta,Foil,Unique,78.08,75.06,-3.019999999999996,-3.867827868852454,https://www.tcgplayer.com/product/523514/sorcery-contested-realm-beta-river-of-flame-foil
Amulet of Niniane Foil,Arthurian Legends,Foil,Unique,120.52,117.97,-2.549999999999997,-2.1158313972784577,https://www.tcgplayer.com/product/585132/sorcery-contested-realm-arthurian-legends-amulet-of-niniane-foil
Day of Judgment Foil,Gothic,Foil,Unique,52.7,50.22,-2.480000000000004,-4.705882352941184,https://www.tcgplayer.com/product/667111/sorcery-contested-realm-gothic-day-of-judgment-foil
The Colour Out of Space Foil,Beta,Foil,Unique,91.9,89.47,-2.430000000000007,-2.644178454842227,https://www.tcgplayer.com/product/522993/sorcery-contested-realm-beta-the-colour-out-of-space-foil
Tabula Rasa Foil,Gothic,Foil,Unique,126.0,124.0,-2.0,-1.5873015873015872,https://www.tcgplayer.com/product/667683/sorcery-contested-realm-gothic-tabula-rasa-foil
Summoning Sphere Foil,Alpha,Foil,Exceptional,14.35,16.34,1.9900000000000002,13.867595818815333,https://www.tcgplayer.com/product/522470/sorcery-contested-realm-alpha-summoning-sphere-foil
Sinkhole Foil,Alpha,Foil,Elite,63.16,64.53,1.3700000000000045,2.169094363521223,https://www.tcgplayer.com/product/522397/sorcery-contested-realm-alpha-sinkhole-foil
Beta Booster Box,Beta,Standard,,159.33,160.57,1.2399999999999807,0.7782589593924437,https://www.tcgplayer.com/product/522759/sorcery-contested-realm-beta-beta-booster-box
Mephistopheles Foil,Gothic,Foil,Unique,109.96,108.73,-1.2299999999999898,-1.118588577664596,https://www.tcgplayer.com/product/667439/sorcery-contested-realm-gothic-mephistopheles-foil
Balor of the Evil Eye,Gothic,Standard,Unique,56.33,57.53,1.2000000000000028,2.130303568258482,https://www.tcgplayer.com/product/666979/sorcery-contested-realm-gothic-balor-of-the-evil-eye
Pirate Ship Foil,Alpha,Foil,Ordinary,22.93,24.11,1.1799999999999997,5.146096816397732,https://www.tcgplayer.com/product/522601/sorcery-contested-realm-alpha-pirate-ship-foil
Shrink Foil,Alpha,Foil,Exceptional,15.74,16.8,1.0600000000000005,6.734434561626433,https://www.tcgplayer.com/product/522267/sorcery-contested-realm-alpha-shrink-foil
Pillar of Zeiros Foil,Beta,Foil,Unique,55.63,54.59,-1.0399999999999991,-1.8694948768649993,https://www.tcgplayer.com/product/523601/sorcery-contested-realm-beta-pillar-of-zeiros-foil
