name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Tvinnax Berserker Foil,Alpha,Foil,Exceptional,27.99,23.09,-4.899999999999999,-17.50625223294033,https://www.tcgplayer.com/product/522364/sorcery-contested-realm-alpha-tvinnax-berserker-foil
Avatar of Water Preconstructed Deck,Alpha,Standard,Elite,135.17,138.62,3.450000000000017,2.552341495894072,https://www.tcgplayer.com/product/521532/sorcery-contested-realm-alpha-avatar-of-water-preconstructed-deck
Wills o the Wisp Foil,Alpha,Foil,Exceptional,29.99,26.84,-3.1499999999999986,-10.503501167055681,https://www.tcgplayer.com/product/522587/sorcery-contested-realm-alpha-wills-o-the-wisp-foil
Lighthouse Foil,Alpha,Foil,Exceptional,81.5,78.49,-3.010000000000005,-3.6932515337423375,https://www.tcgplayer.com/product/521998/sorcery-contested-realm-alpha-lighthouse-foil
Lilith,Gothic,Standard,Unique,55.97,57.67,1.7000000000000028,3.037341432910493,https://www.tcgplayer.com/product/667400/sorcery-contested-realm-gothic-lilith
Wall of Air Foil,Alpha,Foil,Ordinary,8.9,10.38,1.4800000000000004,16.62921348314607,https://www.tcgplayer.com/product/522468/sorcery-contested-realm-alpha-wall-of-air-foil
Torrid Omphalos,Gothic,Standard,Unique,57.45,58.76,1.3099999999999952,2.2802436901653524,https://www.tcgplayer.com/product/667726/sorcery-contested-realm-gothic-torrid-omphalos
Sirian Templar Box Topper,Alpha,Standard,Exceptional,6.38,5.3,-1.08,-16.92789968652038,https://www.tcgplayer.com/product/530301/sorcery-contested-realm-alpha-sirian-templar-box-topper
Court Jester Foil,Alpha,Foil,Elite,28.69,27.64,-1.0500000000000007,-3.6598117811084028,https://www.tcgplayer.com/product/522081/sorcery-contested-realm-alpha-court-jester-foil
Flaming Sword Foil,Alpha,Foil,Exceptional,23.44,22.45,-0.990000000000002,-4.223549488054616,https://www.tcgplayer.com/product/522155/sorcery-contested-realm-alpha-flaming-sword-foil
Army of the Dead Foil,Gothic,Foil,Unique,72.74,73.71,0.9699999999999989,1.3335166345889455,https://www.tcgplayer.com/product/666968/sorcery-contested-realm-gothic-army-of-the-dead-foil
Highland Princess,Alpha,Standard,Unique,44.0,44.82,0.8200000000000003,1.8636363636363642,https://www.tcgplayer.com/product/521898/sorcery-contested-realm-alpha-highland-princess
Gothic Booster Box,Gothic,Standard,,178.72,179.52,0.8000000000000114,0.44762757385855606,https://www.tcgplayer.com/product/656591/sorcery-contested-realm-gothic-gothic-booster-box
Ring of Morrigan,Arthurian Legends,Standard,Unique,160.67,161.47,0.8000000000000114,0.49791498101699844,https://www.tcgplayer.com/product/585400/sorcery-contested-realm-arthurian-legends-ring-of-morrigan
Star seeds of Uhr,Alpha,Standard,Unique,14.79,15.54,0.75,5.070993914807302,https://www.tcgplayer.com/product/522322/sorcery-contested-realm-alpha-star-seeds-of-uhr
Apprentice Wizard Foil,Alpha,Foil,Ordinary,20.56,21.25,0.6900000000000013,3.3560311284046755,https://www.tcgplayer.com/product/521755/sorcery-contested-realm-alpha-apprentice-wizard-foil
Meteor Shower Foil,Alpha,Foil,Elite,27.93,28.61,0.6799999999999997,2.434658073755817,https://www.tcgplayer.com/product/522052/sorcery-contested-realm-alpha-meteor-shower-foil
Cradle of Etherrum,Dragonlord,Standard,Unique,6.91,7.55,0.6399999999999997,9.261939218523874,https://www.tcgplayer.com/product/647359/sorcery-contested-realm-dragonlord-cradle-of-etherrum
Pied Piper of Hameln,Gothic,Standard,Unique,27.25,27.88,0.629999999999999,2.3119266055045835,https://www.tcgplayer.com/product/667529/sorcery-contested-realm-gothic-pied-piper-of-hameln
Eclipse,Gothic,Standard,Unique,36.88,37.46,0.5799999999999983,1.57266811279826,https://www.tcgplayer.com/product/667170/sorcery-contested-realm-gothic-eclipse
