name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Archangel Michael Foil,Gothic,Foil,Unique,347.69,374.66,26.970000000000027,7.7569098909948595,https://www.tcgplayer.com/product/666958/sorcery-contested-realm-gothic-archangel-michael-foil
Archangel Raphael Foil,Gothic,Foil,Unique,204.55,222.06,17.50999999999999,8.560254216572961,https://www.tcgplayer.com/product/666960/sorcery-contested-realm-gothic-archangel-raphael-foil
Aino Foil,Gothic,Foil,Unique,271.0,288.42,17.420000000000016,6.42804428044281,https://www.tcgplayer.com/product/666933/sorcery-contested-realm-gothic-aino-foil
Goat for Azazel Foil,Gothic,Foil,Unique,79.4,69.94,-9.460000000000008,-11.914357682619658,https://www.tcgplayer.com/product/667269/sorcery-contested-realm-gothic-goat-for-azazel-foil
Infiltrate Foil,Alpha,Foil,Elite,133.0,125.0,-8.0,-6.015037593984962,https://www.tcgplayer.com/product/521931/sorcery-contested-realm-alpha-infiltrate-foil
Golden Dawn Foil,Gothic,Foil,Unique,55.0,59.99,4.990000000000002,9.072727272727278,https://www.tcgplayer.com/product/667271/sorcery-contested-realm-gothic-golden-dawn-foil
Ether Core Foil,Gothic,Foil,Unique,273.64,269.25,-4.389999999999986,-1.6042976173074062,https://www.tcgplayer.com/product/667191/sorcery-contested-realm-gothic-ether-core-foil
Ring of Morrigan,Arthurian Legends,Standard,Unique,230.26,227.38,-2.8799999999999955,-1.2507600104229981,https://www.tcgplayer.com/product/585400/sorcery-contested-realm-arthurian-legends-ring-of-morrigan
Returned King,Gothic,Standard,Unique,58.03,60.8,2.769999999999996,4.773393072548675,https://www.tcgplayer.com/product/667571/sorcery-contested-realm-gothic-returned-king
Archangel Gabriel Foil,Gothic,Foil,Unique,160.75,158.38,-2.3700000000000045,-1.4743390357698318,https://www.tcgplayer.com/product/666956/sorcery-contested-realm-gothic-archangel-gabriel-foil
Gargantula Foil,Gothic,Foil,Elite,83.72,85.75,2.030000000000001,2.4247491638796004,https://www.tcgplayer.com/product/667245/sorcery-contested-realm-gothic-gargantula-foil
Sir Mordred Foil,Arthurian Legends,Foil,Unique,43.69,45.54,1.8500000000000014,4.234378576333261,https://www.tcgplayer.com/product/585447/sorcery-contested-realm-arthurian-legends-sir-mordred-foil
Grigori Rasputin Foil,Gothic,Foil,Unique,115.69,117.24,1.5499999999999972,1.3397873627798402,https://www.tcgplayer.com/product/667287/sorcery-contested-realm-gothic-grigori-rasputin-foil
Key to the City,Gothic,Standard,Unique,57.82,59.25,1.4299999999999997,2.4731926668972672,https://www.tcgplayer.com/product/667372/sorcery-contested-realm-gothic-key-to-the-city
Aino,Gothic,Standard,Unique,53.28,54.59,1.3100000000000023,2.458708708708713,https://www.tcgplayer.com/product/666932/sorcery-contested-realm-gothic-aino
Key to the City Foil,Gothic,Foil,Unique,213.47,212.2,-1.2700000000000102,-0.5949313720897598,https://www.tcgplayer.com/product/667373/sorcery-contested-realm-gothic-key-to-the-city-foil
Arthurian Legends Booster Case,Arthurian Legends,Standard,,774.04,772.84,-1.1999999999999318,-0.1550307477649646,https://www.tcgplayer.com/product/563831/sorcery-contested-realm-arthurian-legends-arthurian-legends-booster-case
Armageddon Foil,Gothic,Foil,Unique,48.91,47.91,-1.0,-2.0445716622367613,https://www.tcgplayer.com/product/666966/sorcery-contested-realm-gothic-armageddon-foil
Cloud Spirit Foil,Alpha,Foil,Ordinary,8.81,9.8,0.9900000000000002,11.237230419977301,https://www.tcgplayer.com/product/521927/sorcery-contested-realm-alpha-cloud-spirit-foil
Balor of the Evil Eye,Gothic,Standard,Unique,74.75,75.69,0.9399999999999977,1.257525083612037,https://www.tcgplayer.com/product/666979/sorcery-contested-realm-gothic-balor-of-the-evil-eye
