name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
The Four Elementals Preconstructed Deck Box,Alpha,Standard,,831.46,838.66,7.199999999999932,0.8659466480648417,https://www.tcgplayer.com/product/521577/sorcery-contested-realm-alpha-the-four-elementals-preconstructed-deck-box
Onyx Core,Alpha,Standard,Unique,146.47,152.28,5.810000000000002,3.9666825971188655,https://www.tcgplayer.com/product/522176/sorcery-contested-realm-alpha-onyx-core
Sacred Stag Foil,Gothic,Foil,Elite,80.57,86.38,5.810000000000002,7.2111207645525655,https://www.tcgplayer.com/product/667586/sorcery-contested-realm-gothic-sacred-stag-foil
Gothic Booster Case,Gothic,Standard,,1018.4,1022.14,3.740000000000009,0.36724273369992233,https://www.tcgplayer.com/product/656592/sorcery-contested-realm-gothic-gothic-booster-case
Bladedancer Foil,Gothic,Foil,,62.96,66.39,3.4299999999999997,5.447903430749681,https://www.tcgplayer.com/product/667005/sorcery-contested-realm-gothic-bladedancer-foil
Amethyst Core Foil,Beta,Foil,Unique,294.16,292.15,-2.0100000000000477,-0.6833016045689583,https://www.tcgplayer.com/product/522861/sorcery-contested-realm-beta-amethyst-core-foil
Beta Booster Box,Beta,Standard,,183.75,185.1,1.3499999999999943,0.7346938775510173,https://www.tcgplayer.com/product/522759/sorcery-contested-realm-beta-beta-booster-box
Lord of Lies Foil,Gothic,Foil,Elite,90.69,89.58,-1.1099999999999994,-1.2239497188223611,https://www.tcgplayer.com/product/667411/sorcery-contested-realm-gothic-lord-of-lies-foil
Sorcerer,Dust Reward Promos,Foil,Ordinary,40.98,41.96,0.980000000000004,2.391410444119092,https://www.tcgplayer.com/product/550751/sorcery-contested-realm-dust-reward-promos-sorcerer
Hemogoblet Foil,Gothic,Foil,Elite,8.96,8.0,-0.9600000000000009,-10.714285714285724,https://www.tcgplayer.com/product/667315/sorcery-contested-realm-gothic-hemogoblet-foil
Caelestis,Dragonlord,Standard,Unique,9.85,9.26,-0.5899999999999999,-5.9898477157360395,https://www.tcgplayer.com/product/642081/sorcery-contested-realm-dragonlord-caelestis
The Black Plague Foil,Arthurian Legends,Foil,Unique,62.95,63.53,0.5799999999999983,0.9213661636219194,https://www.tcgplayer.com/product/585495/sorcery-contested-realm-arthurian-legends-the-black-plague-foil
Exorcism Foil,Alpha,Foil,Ordinary,12.27,11.73,-0.5399999999999991,-4.400977995110018,https://www.tcgplayer.com/product/522085/sorcery-contested-realm-alpha-exorcism-foil
Sea of Ash,Gothic,Standard,Unique,7.63,7.12,-0.5099999999999998,-6.684141546526864,https://www.tcgplayer.com/product/667603/sorcery-contested-realm-gothic-sea-of-ash
Sphere of Animosity Foil,Gothic,Foil,Elite,41.16,40.65,-0.509999999999998,-1.2390670553935814,https://www.tcgplayer.com/product/667657/sorcery-contested-realm-gothic-sphere-of-animosity-foil
Deathspeaker Foil,Beta,Foil,Elite,51.52,51.08,-0.44000000000000483,-0.8540372670807546,https://www.tcgplayer.com/product/523123/sorcery-contested-realm-beta-deathspeaker-foil
Magnetic Muzzle Foil,Alpha,Foil,Elite,29.7,30.11,0.41000000000000014,1.3804713804713808,https://www.tcgplayer.com/product/521996/sorcery-contested-realm-alpha-magnetic-muzzle-foil
Asmodeus,Gothic,Standard,Unique,13.08,12.7,-0.3800000000000008,-2.9051987767584158,https://www.tcgplayer.com/product/666969/sorcery-contested-realm-gothic-asmodeus
Fields of Camlann,Arthurian Legends,Standard,Unique,29.44,29.82,0.379999999999999,1.290760869565214,https://www.tcgplayer.com/product/585230/sorcery-contested-realm-arthurian-legends-fields-of-camlann
Call of the Sea Foil,Gothic,Foil,Elite,24.89,25.24,0.34999999999999787,1.4061872237846438,https://www.tcgplayer.com/product/667051/sorcery-contested-realm-gothic-call-of-the-sea-foil
