name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Alpha Booster Box,Alpha,Standard,,1048.03,1038.35,-9.680000000000064,-0.9236376821274261,https://www.tcgplayer.com/product/521581/sorcery-contested-realm-alpha-alpha-booster-box
Aino Foil,Gothic,Foil,Unique,202.57,208.7,6.1299999999999955,3.0261144295798963,https://www.tcgplayer.com/product/666933/sorcery-contested-realm-gothic-aino-foil
Vile Imp Foil,Alpha,Foil,Ordinary,131.26,136.73,5.469999999999999,4.167301538930366,https://www.tcgplayer.com/product/522451/sorcery-contested-realm-alpha-vile-imp-foil
Key to the City,Gothic,Standard,Unique,34.11,36.49,2.3800000000000026,6.97742597478746,https://www.tcgplayer.com/product/667372/sorcery-contested-realm-gothic-key-to-the-city
Paladins of Bazia Foil,Gothic,Foil,Elite,26.12,23.99,-2.1300000000000026,-8.154670750382857,https://www.tcgplayer.com/product/667517/sorcery-contested-realm-gothic-paladins-of-bazia-foil
Blink Foil Misprint,Beta,Foil,Ordinary,18.19,20.31,2.1199999999999974,11.654755360087945,https://www.tcgplayer.com/product/522862/sorcery-contested-realm-beta-blink-foil-misprint
Windmill Foil,Beta,Foil,Exceptional,42.52,40.45,-2.0700000000000003,-4.86829727187206,https://www.tcgplayer.com/product/522945/sorcery-contested-realm-beta-windmill-foil
Satanic Panic Foil,Gothic,Foil,Unique,63.08,61.21,-1.8699999999999974,-2.9644895370957474,https://www.tcgplayer.com/product/667594/sorcery-contested-realm-gothic-satanic-panic-foil
Pillar of Zeiros Foil,Beta,Foil,Unique,65.25,63.55,-1.7000000000000028,-2.6053639846743337,https://www.tcgplayer.com/product/523601/sorcery-contested-realm-beta-pillar-of-zeiros-foil
Silver Bullet Foil,Gothic,Foil,Elite,40.28,38.67,-1.6099999999999994,-3.9970208540218453,https://www.tcgplayer.com/product/667633/sorcery-contested-realm-gothic-silver-bullet-foil
Sorcerer Store Alternate Art Promo Foil,Arthurian Legends Promo,Foil,Promo,136.57,138.01,1.4399999999999977,1.0544043347733747,https://www.tcgplayer.com/product/607962/sorcery-contested-realm-arthurian-legends-promo-sorcerer-store-alternate-art-promo-foil
Wuthering Heights,Gothic,Standard,Elite,14.12,12.72,-1.3999999999999986,-9.915014164305939,https://www.tcgplayer.com/product/667776/sorcery-contested-realm-gothic-wuthering-heights
Grey Wolves Foil,Beta,Foil,Ordinary,26.9,25.67,-1.2299999999999969,-4.572490706319692,https://www.tcgplayer.com/product/523435/sorcery-contested-realm-beta-grey-wolves-foil
Extinguish Foil,Alpha,Foil,Ordinary,9.22,8.06,-1.1600000000000001,-12.58134490238612,https://www.tcgplayer.com/product/522088/sorcery-contested-realm-alpha-extinguish-foil
Sir Yvain Foil,Arthurian Legends,Foil,Unique,55.14,54.11,-1.0300000000000011,-1.8679724338048627,https://www.tcgplayer.com/product/585463/sorcery-contested-realm-arthurian-legends-sir-yvain-foil
Star seeds of Uhr,Alpha,Standard,Unique,12.77,13.64,0.870000000000001,6.812842599843391,https://www.tcgplayer.com/product/522322/sorcery-contested-realm-alpha-star-seeds-of-uhr
Ruby Core Foil,Beta,Foil,Unique,111.07,111.88,0.8100000000000023,0.7292698298370418,https://www.tcgplayer.com/product/523577/sorcery-contested-realm-beta-ruby-core-foil
Arthurian Legends Booster Box,Arthurian Legends,Standard,,129.16,128.36,-0.799999999999983,-0.6193868070609964,https://www.tcgplayer.com/product/563830/sorcery-contested-realm-arthurian-legends-arthurian-legends-booster-box
Myrrhs Trophy Room Foil,Gothic,Foil,Unique,47.31,46.58,-0.730000000000004,-1.5430141619108095,https://www.tcgplayer.com/product/667469/sorcery-contested-realm-gothic-myrrhs-trophy-room-foil
Gift of the Wolf Foil,Gothic,Foil,Ordinary,10.16,9.47,-0.6899999999999995,-6.79133858267716,https://www.tcgplayer.com/product/667261/sorcery-contested-realm-gothic-gift-of-the-wolf-foil
