name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Truesight Crossbow Foil,Alpha,Foil,Exceptional,30.33,20.5,-9.829999999999998,-32.410154962083745,https://www.tcgplayer.com/product/522360/sorcery-contested-realm-alpha-truesight-crossbow-foil
The Green Knight Foil,Arthurian Legends,Foil,Unique,151.19,156.42,5.22999999999999,3.4592234936172956,https://www.tcgplayer.com/product/585503/sorcery-contested-realm-arthurian-legends-the-green-knight-foil
Swap SCGCon Promo,Gothic,Standard,Exceptional,49.72,54.04,4.32,8.688656476267097,https://www.tcgplayer.com/product/678193/sorcery-contested-realm-gothic-swap-scgcon-promo
Mock Court,Dust Reward Promos,Standard,Promo,63.89,59.69,-4.200000000000003,-6.573798716544064,https://www.tcgplayer.com/product/708059/sorcery-contested-realm-dust-reward-promos-mock-court
Harbinger,Dust Reward Promos,Standard,Ordinary,171.81,167.92,-3.890000000000015,-2.264128979686872,https://www.tcgplayer.com/product/678668/sorcery-contested-realm-dust-reward-promos-harbinger
Persecutor,Dust Reward Promos,Standard,,162.58,158.84,-3.740000000000009,-2.3004059539918864,https://www.tcgplayer.com/product/678678/sorcery-contested-realm-dust-reward-promos-persecutor
Kor Crematory Foil,Gothic,Foil,Unique,89.41,85.88,-3.530000000000001,-3.9481042388994534,https://www.tcgplayer.com/product/667383/sorcery-contested-realm-gothic-kor-crematory-foil
Gothic Booster Box,Gothic,Standard,,203.2,200.22,-2.9799999999999898,-1.466535433070861,https://www.tcgplayer.com/product/656591/sorcery-contested-realm-gothic-gothic-booster-box
The Inquisition Foil,Gothic,Foil,Unique,108.35,106.82,-1.5300000000000011,-1.4120904476234437,https://www.tcgplayer.com/product/667701/sorcery-contested-realm-gothic-the-inquisition-foil
Satanic Panic Foil,Gothic,Foil,Unique,46.91,45.52,-1.3899999999999935,-2.9631208697505724,https://www.tcgplayer.com/product/667594/sorcery-contested-realm-gothic-satanic-panic-foil
Vatn Draconis,Dragonlord,Standard,Unique,39.6,40.94,1.3399999999999963,3.3838383838383743,https://www.tcgplayer.com/product/647357/sorcery-contested-realm-dragonlord-vatn-draconis
Pathfinder Foil,Beta,Foil,Unique,134.57,135.5,0.9300000000000068,0.6910901389611406,https://www.tcgplayer.com/product/523553/sorcery-contested-realm-beta-pathfinder-foil
Tombstone Wardens Foil,Gothic,Foil,Elite,24.11,24.98,0.870000000000001,3.608461219411037,https://www.tcgplayer.com/product/667721/sorcery-contested-realm-gothic-tombstone-wardens-foil
The Colour Out of Space,Alpha,Standard,Unique,33.94,33.07,-0.8699999999999974,-2.5633470830877947,https://www.tcgplayer.com/product/522542/sorcery-contested-realm-alpha-the-colour-out-of-space
Betrayal Foil,Gothic,Foil,Elite,30.84,31.69,0.8500000000000014,2.756160830090796,https://www.tcgplayer.com/product/666992/sorcery-contested-realm-gothic-betrayal-foil
The Geistwood,Alpha,Standard,Unique,11.8,10.96,-0.8399999999999999,-7.118644067796609,https://www.tcgplayer.com/product/522547/sorcery-contested-realm-alpha-the-geistwood
Dank Omphalos,Gothic,Standard,Unique,57.99,57.19,-0.8000000000000043,-1.3795481979651736,https://www.tcgplayer.com/product/667104/sorcery-contested-realm-gothic-dank-omphalos
Quarrelsome Kobolds Foil,Beta,Foil,Exceptional,11.37,12.14,0.7700000000000014,6.772207563764304,https://www.tcgplayer.com/product/523204/sorcery-contested-realm-beta-quarrelsome-kobolds-foil
Spear of Destiny Foil,Beta,Foil,Unique,14.59,13.82,-0.7699999999999996,-5.277587388622342,https://www.tcgplayer.com/product/523301/sorcery-contested-realm-beta-spear-of-destiny-foil
Caelestis,Dragonlord,Standard,Unique,10.77,10.03,-0.7400000000000002,-6.870937790157848,https://www.tcgplayer.com/product/642081/sorcery-contested-realm-dragonlord-caelestis
