name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
The Doom of Dilmun Foil,Gothic,Foil,Unique,147.25,151.91,4.659999999999997,3.164685908319183,https://www.tcgplayer.com/product/667693/sorcery-contested-realm-gothic-the-doom-of-dilmun-foil
Bone Rabble Store Alternate Art Promo Foil,Beta,Foil,Promo,25.41,21.09,-4.32,-17.001180637544273,https://www.tcgplayer.com/product/528825/sorcery-contested-realm-beta-bone-rabble-store-alternate-art-promo-foil
Eriks Curiosa,Alpha,Standard,Unique,357.31,361.58,4.269999999999982,1.1950407209425937,https://www.tcgplayer.com/product/521847/sorcery-contested-realm-alpha-eriks-curiosa
The Green Knight Foil,Arthurian Legends,Foil,Unique,156.42,159.77,3.3500000000000227,2.1416698631888655,https://www.tcgplayer.com/product/585503/sorcery-contested-realm-arthurian-legends-the-green-knight-foil
Amethyst Core,Alpha,Standard,Unique,104.67,107.89,3.219999999999999,3.0763351485621464,https://www.tcgplayer.com/product/521565/sorcery-contested-realm-alpha-amethyst-core
Cone of Flame Foil,Alpha,Foil,Exceptional,14.69,17.55,2.860000000000001,19.469026548672574,https://www.tcgplayer.com/product/522034/sorcery-contested-realm-alpha-cone-of-flame-foil
Wuthering Heights Foil,Gothic,Foil,Elite,148.97,151.33,2.3600000000000136,1.5842115862254238,https://www.tcgplayer.com/product/667777/sorcery-contested-realm-gothic-wuthering-heights-foil
Amazon Warriors Alpha Investments Promo Foil,Beta,Foil,Promo,192.84,190.69,-2.1500000000000057,-1.1149139182742198,https://www.tcgplayer.com/product/552235/sorcery-contested-realm-beta-amazon-warriors-alpha-investments-promo-foil
Blood Mana Foil,Gothic,Foil,Unique,64.99,62.89,-2.0999999999999943,-3.2312663486690174,https://www.tcgplayer.com/product/667023/sorcery-contested-realm-gothic-blood-mana-foil
Ironclad Foil,Gothic,Foil,,94.39,92.46,-1.9300000000000068,-2.0447081258607973,https://www.tcgplayer.com/product/667367/sorcery-contested-realm-gothic-ironclad-foil
Boudicca Foil,Arthurian Legends,Foil,Unique,107.66,106.19,-1.4699999999999989,-1.365409622886865,https://www.tcgplayer.com/product/585170/sorcery-contested-realm-arthurian-legends-boudicca-foil
Landmass Foil,Gothic,Foil,Ordinary,27.86,28.86,1.0,3.589375448671931,https://www.tcgplayer.com/product/667389/sorcery-contested-realm-gothic-landmass-foil
Mismanaged Mortuary Foil,Gothic,Foil,Elite,49.01,49.93,0.9200000000000017,1.8771679249132867,https://www.tcgplayer.com/product/667445/sorcery-contested-realm-gothic-mismanaged-mortuary-foil
Gift of the Wolf Foil,Gothic,Foil,Ordinary,13.85,14.72,0.870000000000001,6.281588447653437,https://www.tcgplayer.com/product/667261/sorcery-contested-realm-gothic-gift-of-the-wolf-foil
Quarrelsome Kobolds Foil,Beta,Foil,Exceptional,12.14,12.94,0.7999999999999989,6.5897858319604525,https://www.tcgplayer.com/product/523204/sorcery-contested-realm-beta-quarrelsome-kobolds-foil
Key to the City,Gothic,Standard,Unique,76.23,75.43,-0.7999999999999972,-1.0494555949101365,https://www.tcgplayer.com/product/667372/sorcery-contested-realm-gothic-key-to-the-city
Returned King,Gothic,Standard,Unique,62.76,61.96,-0.7999999999999972,-1.2746972594008876,https://www.tcgplayer.com/product/667571/sorcery-contested-realm-gothic-returned-king
Craterize Foil,Beta,Foil,Elite,12.45,13.19,0.7400000000000002,5.943775100401608,https://www.tcgplayer.com/product/523172/sorcery-contested-realm-beta-craterize-foil
Archangel Gabriel,Gothic,Standard,Unique,20.73,20.07,-0.6600000000000001,-3.1837916063675835,https://www.tcgplayer.com/product/666955/sorcery-contested-realm-gothic-archangel-gabriel
Questing Beast Foil,Arthurian Legends,Foil,Unique,73.17,72.61,-0.5600000000000023,-0.7653409867432038,https://www.tcgplayer.com/product/585383/sorcery-contested-realm-arthurian-legends-questing-beast-foil
