name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Archangel Michael Foil,Gothic,Foil,Unique,238.25,293.18,54.93000000000001,23.055613850996856,https://www.tcgplayer.com/product/666958/sorcery-contested-realm-gothic-archangel-michael-foil
Alpha Booster Box,Alpha,Standard,,1534.01,1579.54,45.52999999999997,2.968038018005096,https://www.tcgplayer.com/product/521581/sorcery-contested-realm-alpha-alpha-booster-box
The Immortal Throne Foil,Alpha,Foil,Unique,375.0,345.67,-29.329999999999984,-7.821333333333329,https://www.tcgplayer.com/product/522555/sorcery-contested-realm-alpha-the-immortal-throne-foil
The Four Elementals Preconstructed Deck Air,Alpha,Standard,,299.33,324.5,25.170000000000016,8.408779607790738,https://www.tcgplayer.com/product/521505/sorcery-contested-realm-alpha-the-four-elementals-preconstructed-deck-air
Torrid Omphalos Foil,Gothic,Foil,Unique,206.94,214.12,7.180000000000007,3.469604716342905,https://www.tcgplayer.com/product/667727/sorcery-contested-realm-gothic-torrid-omphalos-foil
City of Souls Foil,Gothic,Foil,Unique,108.15,101.59,-6.560000000000002,-6.065649560795194,https://www.tcgplayer.com/product/667071/sorcery-contested-realm-gothic-city-of-souls-foil
King Arthur,Dust Reward Promos,Foil,Unique,205.98,212.25,6.27000000000001,3.043984852898345,https://www.tcgplayer.com/product/668754/sorcery-contested-realm-dust-reward-promos-king-arthur
Boulevard of Bones Foil,Gothic,Foil,Elite,24.82,31.04,6.219999999999999,25.060435132957288,https://www.tcgplayer.com/product/667037/sorcery-contested-realm-gothic-boulevard-of-bones-foil
Sister Stefania Foil,Gothic,Foil,Unique,92.59,98.6,6.009999999999991,6.490981747488919,https://www.tcgplayer.com/product/667639/sorcery-contested-realm-gothic-sister-stefania-foil
Innsmouth Dock Foil,Gothic,Foil,Unique,117.12,122.33,5.209999999999994,4.448428961748628,https://www.tcgplayer.com/product/667355/sorcery-contested-realm-gothic-innsmouth-dock-foil
Death Dealer Foil,Beta,Foil,Unique,61.04,65.84,4.800000000000004,7.86369593709044,https://www.tcgplayer.com/product/523070/sorcery-contested-realm-beta-death-dealer-foil
Heirloom Lost Foil,Gothic,Foil,Elite,11.44,15.9,4.460000000000001,38.986013986013994,https://www.tcgplayer.com/product/667305/sorcery-contested-realm-gothic-heirloom-lost-foil
Master Necromancer Foil,Gothic,Foil,Elite,43.55,39.21,-4.339999999999996,-9.965556831228465,https://www.tcgplayer.com/product/667429/sorcery-contested-realm-gothic-master-necromancer-foil
Bury Foil,Alpha,Foil,Ordinary,11.46,14.27,2.8099999999999987,24.520069808027912,https://www.tcgplayer.com/product/521802/sorcery-contested-realm-alpha-bury-foil
The Four Elementals Preconstructed Deck Water,Alpha,Standard,,144.01,141.51,-2.5,-1.7359905562113742,https://www.tcgplayer.com/product/521509/sorcery-contested-realm-alpha-the-four-elementals-preconstructed-deck-water
Amulet of Niniane Foil,Arthurian Legends,Foil,Unique,127.28,124.81,-2.469999999999999,-1.9406033940917653,https://www.tcgplayer.com/product/585132/sorcery-contested-realm-arthurian-legends-amulet-of-niniane-foil
Mover of Mountains Foil,Gothic,Foil,Unique,67.45,69.88,2.4299999999999926,3.6026686434395736,https://www.tcgplayer.com/product/667461/sorcery-contested-realm-gothic-mover-of-mountains-foil
Sirian Templar Foil,Alpha,Foil,Exceptional,12.0,14.35,2.3499999999999996,19.58333333333333,https://www.tcgplayer.com/product/522415/sorcery-contested-realm-alpha-sirian-templar-foil
The Four Elementals Preconstructed Deck Fire,Alpha,Standard,,119.6,117.26,-2.339999999999989,-1.956521739130426,https://www.tcgplayer.com/product/521508/sorcery-contested-realm-alpha-the-four-elementals-preconstructed-deck-fire
The Malleus Maleficarum Foil,Gothic,Foil,Unique,116.72,118.98,2.260000000000005,1.9362577107607994,https://www.tcgplayer.com/product/667703/sorcery-contested-realm-gothic-the-malleus-maleficarum-foil
