name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Ghost Ship Foil,Alpha,Foil,Elite,78.98,94.32,15.33999999999999,19.422638642694338,https://www.tcgplayer.com/product/522006/sorcery-contested-realm-alpha-ghost-ship-foil
Divine Healing Foil,Alpha,Foil,Exceptional,32.0,36.0,4.0,12.5,https://www.tcgplayer.com/product/521691/sorcery-contested-realm-alpha-divine-healing-foil
Dragonlords Lair Foil,Dragonlord,Foil,Unique,217.85,220.83,2.980000000000018,1.3679137020886014,https://www.tcgplayer.com/product/647364/sorcery-contested-realm-dragonlord-dragonlords-lair-foil
Ignis Rex Foil,Dragonlord,Foil,Unique,262.19,263.93,1.740000000000009,0.6636408711239976,https://www.tcgplayer.com/product/647356/sorcery-contested-realm-dragonlord-ignis-rex-foil
Prophets of Doom Preconstructed Decks,Gothic,Standard,,36.81,35.08,-1.730000000000004,-4.6998098342841725,https://www.tcgplayer.com/product/656589/sorcery-contested-realm-gothic-prophets-of-doom-preconstructed-decks
Gothic Booster Box,Gothic,Standard,,160.05,161.59,1.539999999999992,0.9621993127147717,https://www.tcgplayer.com/product/656591/sorcery-contested-realm-gothic-gothic-booster-box
Gift of the Serpent Foil,Gothic,Foil,Ordinary,8.52,10.05,1.5300000000000011,17.957746478873254,https://www.tcgplayer.com/product/667259/sorcery-contested-realm-gothic-gift-of-the-serpent-foil
Sorcerer Store Alternate Art Promo Foil,Arthurian Legends Promo,Foil,Promo,131.88,133.39,1.509999999999991,1.1449802851076667,https://www.tcgplayer.com/product/607962/sorcery-contested-realm-arthurian-legends-promo-sorcerer-store-alternate-art-promo-foil
Blink Foil Corrected,Beta,Foil,Ordinary,29.95,28.58,-1.370000000000001,-4.574290484140238,https://www.tcgplayer.com/product/627673/sorcery-contested-realm-beta-blink-foil-corrected
Morgana le Fay,Arthurian Legends,Standard,Unique,94.17,95.47,1.2999999999999972,1.380482106828074,https://www.tcgplayer.com/product/585346/sorcery-contested-realm-arthurian-legends-morgana-le-fay
River Rapids,Gothic,Standard,Elite,4.4,5.65,1.25,28.409090909090907,https://www.tcgplayer.com/product/667579/sorcery-contested-realm-gothic-river-rapids
Peasant Revolt Foil,Arthurian Legends,Foil,Unique,77.31,76.14,-1.1700000000000017,-1.5133876600698508,https://www.tcgplayer.com/product/585357/sorcery-contested-realm-arthurian-legends-peasant-revolt-foil
Ring of Morrigan,Arthurian Legends,Standard,Unique,161.59,162.72,1.1299999999999955,0.6993006993006965,https://www.tcgplayer.com/product/585400/sorcery-contested-realm-arthurian-legends-ring-of-morrigan
Sacred Stag Foil,Gothic,Foil,Elite,34.55,35.63,1.0800000000000054,3.1259044862518253,https://www.tcgplayer.com/product/667586/sorcery-contested-realm-gothic-sacred-stag-foil
Blunderbore Foil,Arthurian Legends,Foil,Unique,33.67,32.65,-1.0200000000000031,-3.0294030294030385,https://www.tcgplayer.com/product/585164/sorcery-contested-realm-arthurian-legends-blunderbore-foil
Oasis Foil,Beta,Foil,Exceptional,30.13,29.19,-0.9399999999999977,-3.119814138732153,https://www.tcgplayer.com/product/523468/sorcery-contested-realm-beta-oasis-foil
Gothic Tower Foil,Beta,Foil,Ordinary,16.08,15.18,-0.8999999999999986,-5.597014925373126,https://www.tcgplayer.com/product/523401/sorcery-contested-realm-beta-gothic-tower-foil
Toolbox Foil,Gothic,Foil,Exceptional,23.55,22.74,-0.8100000000000023,-3.439490445859882,https://www.tcgplayer.com/product/667723/sorcery-contested-realm-gothic-toolbox-foil
Grey Wolves Foil,Beta,Foil,Ordinary,32.7,31.98,-0.7200000000000024,-2.2018348623853283,https://www.tcgplayer.com/product/523435/sorcery-contested-realm-beta-grey-wolves-foil
Vatn Draconis Foil,Dragonlord,Foil,Unique,133.28,132.56,-0.7199999999999989,-0.540216086434573,https://www.tcgplayer.com/product/647358/sorcery-contested-realm-dragonlord-vatn-draconis-foil
