name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Pendragon Legacy Foil,Arthurian Legends,Foil,Unique,49.21,43.9,-5.310000000000002,-10.790489737858163,https://www.tcgplayer.com/product/585363/sorcery-contested-realm-arthurian-legends-pendragon-legacy-foil
Queen Guinevere Foil,Arthurian Legends,Foil,Unique,59.01,55.21,-3.799999999999997,-6.439586510760884,https://www.tcgplayer.com/product/585381/sorcery-contested-realm-arthurian-legends-queen-guinevere-foil
Felbog Frog Men Foil,Alpha,Foil,Exceptional,13.0,9.99,-3.01,-23.153846153846153,https://www.tcgplayer.com/product/522113/sorcery-contested-realm-alpha-felbog-frog-men-foil
Sirian Templar Foil,Alpha,Foil,Exceptional,18.0,15.0,-3.0,-16.666666666666664,https://www.tcgplayer.com/product/522415/sorcery-contested-realm-alpha-sirian-templar-foil
Raal Dromedary Foil,Alpha,Foil,Ordinary,14.99,12.37,-2.620000000000001,-17.47831887925284,https://www.tcgplayer.com/product/522400/sorcery-contested-realm-alpha-raal-dromedary-foil
Salt the Earth Foil,Gothic,Foil,Unique,64.25,61.97,-2.280000000000001,-3.5486381322957214,https://www.tcgplayer.com/product/667592/sorcery-contested-realm-gothic-salt-the-earth-foil
The Lady of the Lake Foil,Arthurian Legends,Foil,Unique,79.7,77.66,-2.0400000000000063,-2.5595984943538346,https://www.tcgplayer.com/product/585505/sorcery-contested-realm-arthurian-legends-the-lady-of-the-lake-foil
Wall of Fire Foil,Alpha,Foil,Ordinary,10.71,8.85,-1.8600000000000012,-17.366946778711494,https://www.tcgplayer.com/product/522449/sorcery-contested-realm-alpha-wall-of-fire-foil
Dank Omphalos,Gothic,Standard,Unique,63.93,62.35,-1.5799999999999983,-2.4714531518848717,https://www.tcgplayer.com/product/667104/sorcery-contested-realm-gothic-dank-omphalos
Critical Strike Foil,Alpha,Foil,Ordinary,9.0,7.56,-1.4400000000000004,-16.000000000000004,https://www.tcgplayer.com/product/522217/sorcery-contested-realm-alpha-critical-strike-foil
False Idol Foil,Gothic,Foil,Elite,16.71,15.45,-1.2600000000000016,-7.540394973070027,https://www.tcgplayer.com/product/667205/sorcery-contested-realm-gothic-false-idol-foil
Black Mass Foil,Gothic,Foil,Unique,130.97,129.77,-1.1999999999999886,-0.9162403603878664,https://www.tcgplayer.com/product/667001/sorcery-contested-realm-gothic-black-mass-foil
Call to War Foil,Alpha,Foil,Exceptional,13.39,12.26,-1.1300000000000008,-8.439133681852134,https://www.tcgplayer.com/product/521813/sorcery-contested-realm-alpha-call-to-war-foil
Key to the City,Gothic,Standard,Unique,51.1,52.17,1.0700000000000003,2.093933463796478,https://www.tcgplayer.com/product/667372/sorcery-contested-realm-gothic-key-to-the-city
Spin Attack Foil,Alpha,Foil,Ordinary,8.2,7.13,-1.0699999999999994,-13.048780487804873,https://www.tcgplayer.com/product/522519/sorcery-contested-realm-alpha-spin-attack-foil
Fireball Foil,Alpha,Foil,Exceptional,11.24,10.19,-1.0500000000000007,-9.341637010676163,https://www.tcgplayer.com/product/522141/sorcery-contested-realm-alpha-fireball-foil
Swamp Buffalo Foil,Alpha,Foil,Ordinary,10.23,9.18,-1.0500000000000007,-10.263929618768335,https://www.tcgplayer.com/product/522481/sorcery-contested-realm-alpha-swamp-buffalo-foil
Doomsday Cult Foil,Gothic,Foil,Elite,5.78,6.78,1.0,17.301038062283737,https://www.tcgplayer.com/product/667151/sorcery-contested-realm-gothic-doomsday-cult-foil
Mage Slayer Foil,Alpha,Foil,Ordinary,8.5,7.52,-0.9800000000000004,-11.529411764705888,https://www.tcgplayer.com/product/521985/sorcery-contested-realm-alpha-mage-slayer-foil
Asmodeus,Gothic,Standard,Unique,14.51,15.49,0.9800000000000004,6.753962784286702,https://www.tcgplayer.com/product/666969/sorcery-contested-realm-gothic-asmodeus
