name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
Ring of Morrigan,Arthurian Legends,Standard,Unique,171.48,185.3,13.820000000000022,8.05924889199908,https://www.tcgplayer.com/product/585400/sorcery-contested-realm-arthurian-legends-ring-of-morrigan
Necromancer,Dust Reward Promos,Standard,Ordinary,182.0,193.33,11.330000000000013,6.225274725274732,https://www.tcgplayer.com/product/678674/sorcery-contested-realm-dust-reward-promos-necromancer
Dragonlord Box,Dragonlord,Standard,,358.26,366.66,8.400000000000034,2.3446658851113815,https://www.tcgplayer.com/product/641955/sorcery-contested-realm-dragonlord-dragonlord-box
Dragonlord Foil,Dragonlord,Foil,Unique,384.36,391.39,7.029999999999973,1.8290144656051548,https://www.tcgplayer.com/product/647342/sorcery-contested-realm-dragonlord-dragonlord-foil
Peace Offering Foil,Gothic,Foil,Unique,106.98,101.24,-5.740000000000009,-5.365488876425508,https://www.tcgplayer.com/product/667523/sorcery-contested-realm-gothic-peace-offering-foil
Avatar of Fire Foil,Alpha,Foil,Elite,689.99,684.99,-5.0,-0.7246481833070044,https://www.tcgplayer.com/product/521528/sorcery-contested-realm-alpha-avatar-of-fire-foil
Boulevard of Bones Foil,Gothic,Foil,Elite,12.96,17.86,4.899999999999999,37.808641975308625,https://www.tcgplayer.com/product/667037/sorcery-contested-realm-gothic-boulevard-of-bones-foil
Amazon Warriors Alpha Investments Promo Foil,Beta,Foil,Promo,139.64,144.5,4.860000000000014,3.480378115153261,https://www.tcgplayer.com/product/552235/sorcery-contested-realm-beta-amazon-warriors-alpha-investments-promo-foil
Shrine of the Dragonlord,Dragonlord,Standard,Unique,41.93,44.79,2.8599999999999994,6.820891962795134,https://www.tcgplayer.com/product/647361/sorcery-contested-realm-dragonlord-shrine-of-the-dragonlord
Philosophers Stone,Beta,Standard,Unique,87.33,85.01,-2.319999999999993,-2.656589946181144,https://www.tcgplayer.com/product/523597/sorcery-contested-realm-beta-philosophers-stone
Pendragon Legacy Foil,Arthurian Legends,Foil,Unique,43.9,41.95,-1.9499999999999957,-4.441913439635526,https://www.tcgplayer.com/product/585363/sorcery-contested-realm-arthurian-legends-pendragon-legacy-foil
Sorcery Contested Realm Pledge Pack,Alpha,Standard,,161.18,162.94,1.759999999999991,1.0919468916738992,https://www.tcgplayer.com/product/522617/sorcery-contested-realm-alpha-sorcery-contested-realm-pledge-pack
Returned King,Gothic,Standard,Unique,27.07,28.67,1.6000000000000014,5.910602142593282,https://www.tcgplayer.com/product/667571/sorcery-contested-realm-gothic-returned-king
Witch,Arthurian Legends,Standard,Unique,26.12,27.57,1.4499999999999993,5.551301684532922,https://www.tcgplayer.com/product/585562/sorcery-contested-realm-arthurian-legends-witch
Eriks Curiosa,Alpha,Standard,Unique,256.73,258.11,1.3799999999999955,0.5375297004635202,https://www.tcgplayer.com/product/521847/sorcery-contested-realm-alpha-eriks-curiosa
The Geistwood Foil,Beta,Foil,Unique,34.46,33.11,-1.3500000000000014,-3.9175856065002943,https://www.tcgplayer.com/product/522999/sorcery-contested-realm-beta-the-geistwood-foil
Queen Guinevere Foil,Arthurian Legends,Foil,Unique,50.24,49.0,-1.240000000000002,-2.468152866242042,https://www.tcgplayer.com/product/585381/sorcery-contested-realm-arthurian-legends-queen-guinevere-foil
Dank Omphalos,Gothic,Standard,Unique,59.49,60.62,1.1299999999999955,1.8994789040174744,https://www.tcgplayer.com/product/667104/sorcery-contested-realm-gothic-dank-omphalos
Blunderbore Foil,Arthurian Legends,Foil,Unique,30.54,29.47,-1.0700000000000003,-3.5036018336607735,https://www.tcgplayer.com/product/585164/sorcery-contested-realm-arthurian-legends-blunderbore-foil
Questing Beast Foil,Arthurian Legends,Foil,Unique,75.79,76.74,0.9499999999999886,1.253463517614446,https://www.tcgplayer.com/product/585383/sorcery-contested-realm-arthurian-legends-questing-beast-foil
