name,expansion,finish,rarity,Prev Price ($),Curr Price ($),change ($),change (%),art_link
The Four Elementals Preconstructed Deck Fire,Alpha,Standard,,112.0,124.34,12.340000000000003,11.017857142857146,https://www.tcgplayer.com/product/521508/sorcery-contested-realm-alpha-the-four-elementals-preconstructed-deck-fire
Garden of Eden Foil,Gothic,Foil,Unique,157.75,163.12,5.3700000000000045,3.4041204437400983,https://www.tcgplayer.com/product/667243/sorcery-contested-realm-gothic-garden-of-eden-foil
Kairos the Archivist Foil,Dragonlord,Foil,Unique,130.54,126.65,-3.8899999999999864,-2.9799295235176855,https://www.tcgplayer.com/product/647344/sorcery-contested-realm-dragonlord-kairos-the-archivist-foil
Waypoint Portal,Dust Reward Promos,Standard,Exceptional,43.99,46.73,2.739999999999995,6.228688338258683,https://www.tcgplayer.com/product/550754/sorcery-contested-realm-dust-reward-promos-waypoint-portal
Avatar of Water Preconstructed Deck,Alpha,Standard,Elite,122.72,119.99,-2.730000000000004,-2.224576271186444,https://www.tcgplayer.com/product/521532/sorcery-contested-realm-alpha-avatar-of-water-preconstructed-deck
Morgana le Fay Foil,Arthurian Legends,Foil,Unique,289.02,290.95,1.9300000000000068,0.6677738564805228,https://www.tcgplayer.com/product/585347/sorcery-contested-realm-arthurian-legends-morgana-le-fay-foil
Dragonlord Box,Dragonlord,Standard,,267.25,269.05,1.8000000000000114,0.673526660430313,https://www.tcgplayer.com/product/641955/sorcery-contested-realm-dragonlord-dragonlord-box
Highland Princess,Alpha,Standard,Unique,35.14,36.89,1.75,4.9800796812749,https://www.tcgplayer.com/product/521898/sorcery-contested-realm-alpha-highland-princess
Sir Lancelot Foil,Arthurian Legends,Foil,Unique,57.52,56.02,-1.5,-2.60778859527121,https://www.tcgplayer.com/product/585445/sorcery-contested-realm-arthurian-legends-sir-lancelot-foil
Ring of Morrigan,Arthurian Legends,Standard,Unique,159.43,160.78,1.3499999999999943,0.8467666060339925,https://www.tcgplayer.com/product/585400/sorcery-contested-realm-arthurian-legends-ring-of-morrigan
Legion of Gall Foil,Gothic,Foil,Elite,21.04,22.05,1.0100000000000016,4.8003802281368895,https://www.tcgplayer.com/product/667395/sorcery-contested-realm-gothic-legion-of-gall-foil
Grey Wolves Foil,Beta,Foil,Ordinary,33.55,32.7,-0.8499999999999943,-2.5335320417287464,https://www.tcgplayer.com/product/523435/sorcery-contested-realm-beta-grey-wolves-foil
Archangel Raphael,Gothic,Standard,Unique,20.87,21.67,0.8000000000000007,3.8332534738859643,https://www.tcgplayer.com/product/666959/sorcery-contested-realm-gothic-archangel-raphael
Black Mass,Gothic,Standard,Unique,15.88,15.2,-0.6800000000000015,-4.282115869017641,https://www.tcgplayer.com/product/667000/sorcery-contested-realm-gothic-black-mass
Book of the Dead,Gothic,Standard,Unique,23.22,23.87,0.6500000000000021,2.799310938845832,https://www.tcgplayer.com/product/667034/sorcery-contested-realm-gothic-book-of-the-dead
Vatn Draconis Foil,Dragonlord,Foil,Unique,134.11,134.76,0.6499999999999773,0.484676757885301,https://www.tcgplayer.com/product/647358/sorcery-contested-realm-dragonlord-vatn-draconis-foil
Prophets of Doom Preconstructed Decks,Gothic,Standard,,38.34,38.9,0.5599999999999952,1.4606155451225746,https://www.tcgplayer.com/product/656589/sorcery-contested-realm-gothic-prophets-of-doom-preconstructed-decks
Pendulum of Peril Foil,Beta,Foil,Unique,14.08,14.51,0.4299999999999997,3.0539772727272707,https://www.tcgplayer.com/product/523564/sorcery-contested-realm-beta-pendulum-of-peril-foil
Mirror Realm,Beta,Standard,Unique,27.56,27.13,-0.4299999999999997,-1.5602322206095782,https://www.tcgplayer.com/product/523534/sorcery-contested-realm-beta-mirror-realm
Joyous Garde,Arthurian Legends,Standard,Unique,49.88,50.3,0.4199999999999946,0.8420208500400853,https://www.tcgplayer.com/product/585293/sorcery-contested-realm-arthurian-legends-joyous-garde
